29d0,70,50,fdb0
2aa7,66,4e,fdb2
2bcf,70,4c,fdb0
2c17,60,4e,fdb6
2c6d,70,46,fdb0
2c78,5e,4e,fdb8
2c4d,70,4e,fdb8
2c71,70,4e,fdb0
2c85,6e,3c,fdac
2d41,62,46,fda0
2e03,60,4e,fdb6
2ae1,66,4e,fdb2
1e5f,62,4e,fda8
717,60,52,fdbe
e833,60,52,fdb8
ca23,5e,4c,fdb0
b2fd,60,4e,fdb0
a4a7,58,58,fdbc
9d2c,62,50,fdb6
9c54,70,52,fdb0
9e48,60,42,fda2
a300,62,50,fdb6
a625,72,42,fda8
abac,5e,4e,fda8
b32a,66,4e,fdb0
ba97,5c,46,fdae
c02e,70,56,fda2
c351,72,4e,fda2
c42e,5e,50,fdb6
c490,52,4e,fdbc
c5c3,5c,4e,fda8
c86a,68,4c,fdb0
cd24,66,4e,fdac
d45f,66,46,fda8
dda0,70,3e,fdae
e876,66,52,fdb0
f322,5c,4e,fdb0
fe98,66,4e,fdb0
a6a,70,4c,fda8
145b,66,5c,fdb8
1dbe,60,42,fdb8
2679,86,66,fda6
2e9d,58,4e,fdb0
34e6,58,42,fda8
39cd,6e,46,fdb0
3cf5,70,42,fdae
3edc,60,46,fdbc
3ea9,70,4e,fdb2
3bea,72,4e,fdb0
381e,70,50,fdb0
33a2,66,52,fdbc
30b5,60,4e,fdb0
2f7e,66,48,fda6
2f5e,60,4e,fdb0
3127,62,4c,fdb0
33ac,6e,52,fdb0
36bd,60,4e,fdbc
391b,72,4e,fdb8
3974,70,50,fdb2
349e,6e,3e,fdac
2565,66,4c,fda6
b1b,70,50,fd9e
ea18,52,52,fdbe
cc0d,60,4e,fdac
b71b,6e,4e,fdb0
ac1a,60,4c,fdb2
a92f,68,4e,fda6
ad67,5e,46,fdbc
b488,70,4e,fda6
bdfa,72,4e,fda2
c7c2,72,4e,fdb2
d1d3,70,4e,fd9e
daed,5e,50,fdb6
e315,70,46,fdae
e863,66,50,fdb0
eb43,68,4e,fdb0
ec88,6c,4c,fdaa
ed3c,70,50,fdb0
eec2,70,56,fda2
f179,60,4e,fdb2
f64f,70,46,fdae
fcec,5e,4e,fda8
520,70,4e,fdb0
e29,6e,4e,fdb0
1744,60,4e,fda2
1f72,4c,4c,fdb0
27cf,60,4c,fda2
2ec9,66,46,fda6
3426,70,58,fda2
38e4,62,4e,fdb0
3dfe,5c,4c,fdac
416e,70,4c,fdb0
4445,70,4c,fdb8
461d,6e,4e,fda6
46e7,6e,52,fdb0
47b4,60,4c,fdb8
48d3,62,4e,fdac
48ed,62,4e,fdb0
4a3c,70,56,fda0
4b16,60,4e,fdb6
4c5f,70,50,fdb0
4dae,60,4e,fdb0
4ef0,70,52,fda2
5109,70,4e,fdb2
5161,66,56,fdb0
4cfa,70,4e,fdb0
3f10,70,52,fdb0
2560,56,50,fdbc
2f0,66,50,fdb6
e067,70,52,fdac
c3bf,58,50,fdc0
b0a0,70,4e,fdb0
a896,70,4e,fdb2
a926,72,4e,fdb0
af63,60,4e,fdb8
b881,66,4e,fdac
c0f0,6c,4e,fdb0
c9df,6e,3e,fdac
d418,66,4c,fda6
dcee,62,4e,fdb8
e3f7,70,4c,fdb0
e7ce,70,46,fdae
e8fa,70,4e,fdb0
e9b1,70,46,fdac
e87a,6c,4e,fdb2
e912,70,50,fdb0
eb22,70,3e,fda6
ee6f,60,4c,fda0
f33f,70,52,fda2
f90d,60,46,fd9e
ff2e,76,52,fda2
564,66,4e,fdb0
c54,6c,52,fdb2
1263,60,4e,fd9e
17dc,70,3e,fdac
1c27,62,50,fdb8
1f0a,70,46,fdb0
213d,4e,56,fdb8
22e4,62,48,fda6
2603,60,4e,fda2
2951,72,52,fda0
2d45,58,4e,fdb8
30c8,70,4e,fdb0
328f,70,50,fdb6
3337,60,48,fda0
33b4,76,4e,fdb0
33bc,5c,4e,fdc0
33d7,60,46,fdb8
3330,70,50,fda6
3367,70,50,fd9e
3349,58,4e,fdbc
3127,68,58,fdb0
2a31,6e,4e,fdb2
1a7d,60,4c,fda2
ff50,4e,4c,fdb0
ddad,60,4c,fda6
bb8e,66,4c,fda8
a001,6e,50,fda6
8ee8,72,50,fd9e
88b6,78,4e,fda6
8c2a,68,4e,fdb0
9758,70,4c,fdb8
a7e3,60,48,fda2
b8cd,66,4c,fda8
c724,70,52,fda6
d2d6,72,4e,fda0
dac3,68,50,fdb0
df53,60,4e,fdb0
