ffe6,a6,fd4e,2f8,bbff,1500,f9ff
ff8d,9c,fd6c,302,d0ff,1800,ffff
ffd6,a8,fd6c,30e,daff,2a00,f8ff
a2,98,fd66,2fc,d5ff,3000,f5ff
da,a6,fd60,302,c9ff,2b00,f7ff
165,a8,fd70,300,b3ff,3100,f4ff
1a3,a6,fd60,300,88ff,2e00,faff
1fb,90,fd72,310,8cff,3600,800
1e6,86,fd66,312,d3ff,3500,f0ff
19d,a6,fd6c,306,d1ff,3100,f8ff
155,ae,fd70,300,d5ff,2900,200
190,98,fd66,30e,ceff,1a00,f6ff
1b2,90,fd6c,30e,ceff,1c00,200
1e2,ac,fd7c,2fc,e9ff,3100,b00
211,a6,fd56,2f8,e7ff,3300,ffff
1d6,9c,fd66,300,dfff,3300,faff
fc,ae,fd78,306,c0ff,2c00,100
e6,a6,fd5e,2f8,aeff,3400,0
d1,96,fd66,300,b1ff,2b00,ffff
b0,a6,fd6e,30e,afff,1f00,ffff
7c,98,fd62,302,b1ff,1f00,feff
ac,9e,fd66,306,b4ff,2400,200
4a,b0,fd66,30c,bcff,2c00,400
7c,98,fd68,302,bdff,2d00,300
62,9e,fd66,302,b5ff,2b00,eaff
22,8c,fd6c,30e,bbff,2d00,ebff
ffdc,9e,fd66,2f8,b8ff,3200,fcff
ffd1,a6,fd4c,2fe,c4ff,3600,faff
11,98,fd6c,30e,d7ff,3700,fdff
20,8e,fd72,30e,e3ff,3f00,f7ff
2f,98,fd66,2f8,e9ff,4100,e8ff
ffa8,ac,fd5e,306,e8ff,4000,e4ff
ffbc,9e,fd70,308,800,4400,efff
ffa0,98,fd42,30e,e00,4c00,ecff
6e,ae,fd70,30c,500,4f00,ffff
f7,98,fd62,30c,fdff,4d00,fdff
117,a2,fd6c,302,eaff,4800,faff
b6,90,fd70,312,e0ff,4600,f0ff
9e,ae,fd4e,302,dcff,4400,edff
96,a0,fd72,306,e3ff,4900,f1ff
98,a6,fd66,300,f5ff,5300,700
9d,ac,fd66,30c,600,5a00,700
66,9e,fd6e,306,600,5400,f6ff
fff2,9e,fd6e,308,f4ff,4a00,fbff
ffc5,a6,fd6c,308,e1ff,4b00,fbff
ffb6,a6,fd68,30e,e5ff,4d00,fdff
ff9a,ac,fd66,302,e6ff,5200,0
ffa6,ae,fd60,306,e6ff,5600,600
ff8b,98,fd70,306,f6ff,5400,1a00
ff36,9e,fd66,306,b00,5b00,e00
fee3,9c,fd62,302,1900,5f00,400
fed0,98,fd62,2f8,1c00,5800,200
fed0,9c,fd70,306,1600,5800,800
fea3,a8,fd6e,308,1000,5400,1300
fe76,a2,fd70,306,1900,5500,1b00
fe99,90,fd70,310,1b00,5500,1a00
fead,ac,fd70,30e,e00,5400,1500
ff0f,86,fd70,310,400,5200,e00
ff21,90,fd6e,318,fcff,5400,900
fedb,82,fd6e,30e,700,5b00,f00
fee6,9c,fd72,30e,f00,5700,1000
ff10,a2,fd6c,30e,1000,4a00,1200
ff6d,a2,fd70,30c,1800,4800,1000
ff81,a6,fd6c,306,1300,4400,f00
ff47,a6,fd6c,306,b8ff,3400,f5ff
fedb,a6,fd6c,312,c0ff,3800,f6ff
ff17,a6,fd70,316,c3ff,3300,f9ff
ff49,a2,fd6c,30e,bdff,2f00,f3ff
ff47,a6,fd70,30e,b9ff,3300,f4ff
ff60,98,fd70,30e,beff,3400,feff
ff96,a2,fd68,310,beff,2c00,f9ff
ffa1,98,fd76,30e,bbff,2900,f5ff
4,a6,fd52,30e,bcff,2900,f5ff
1b,98,fd6c,318,c8ff,2b00,f7ff
58,8e,fd76,310,bfff,2a00,f8ff
4d,9e,fd78,30e,b3ff,2a00,f9ff
a5,a6,fd6c,312,b4ff,2900,f9ff
d9,8e,fd70,30e,baff,2700,efff
8a,a2,fd52,308,b9ff,2b00,eeff
b2,a2,fd70,310,b7ff,3400,f4ff
cd,98,fd72,30c,c7ff,3000,eeff
9e,a0,fd5c,30e,c4ff,2300,f6ff
a4,98,fd70,312,caff,2900,fbff
d5,a6,fd5e,30c,caff,2f00,fcff
af,9c,fd70,30e,c9ff,3000,faff
c6,8e,fd72,306,c5ff,2c00,f1ff
af,a0,fd70,306,c4ff,2b00,efff
c9,82,fd6c,318,cfff,2900,edff
e4,a6,fd70,310,bfff,3900,faff
d9,a2,fd6e,310,bbff,3700,f8ff
fb,90,fd6c,2fe,bfff,3500,f6ff
13a,92,fd6e,306,c4ff,3000,f8ff
146,a6,fd6c,30c,c6ff,3200,faff
123,92,fd66,302,c9ff,3500,f9ff
11d,a6,fd70,30e,bfff,3b00,fbff
131,a6,fd76,30e,b3ff,3700,0
122,a2,fd70,30c,c7ff,2f00,faff
3b,8e,fd42,310,d3ff,3d00,fcff
fff0,a2,fd70,30e,cfff,3900,f0ff
56,a0,fd70,30e,ccff,3200,f4ff
22,90,fd70,30e,ccff,3600,f6ff
d,a2,fd70,30e,c5ff,3900,f9ff
ffdd,8e,fd6c,318,bdff,3500,f9ff
0,9e,fd72,30e,c1ff,3300,fcff
ffb3,a6,fd56,30c,d2ff,3000,f9ff
ffcf,98,fd70,30e,d6ff,2600,f6ff
fff7,a6,fd72,30e,d5ff,2900,fbff
9,9e,fd70,310,d7ff,2d00,f7ff
ffe5,a2,fd66,306,d1ff,2f00,faff
fff5,a6,fd58,30e,ccff,2c00,feff
1f,92,fd70,306,d0ff,2800,fcff
ffce,98,fd66,30e,cbff,2900,f9ff
ffb0,9e,fd6c,306,caff,3200,ecff
ffbc,a0,fd50,308,c7ff,3600,eeff
ffa5,8e,fd70,318,c5ff,3700,f3ff
ffc5,90,fd72,310,c9ff,3900,f6ff
0,98,fd6e,30e,c4ff,3800,faff
e,88,fd62,302,c2ff,3600,f8ff
e,9e,fd70,30e,c1ff,3500,f7ff
e,a6,fd70,312,c1ff,3700,f3ff
30,82,fd70,318,c3ff,3500,f1ff
ffea,9e,fd70,308,ccff,2400,efff
ffc8,8e,fd72,30e,ccff,2e00,f2ff
ff92,8e,fd66,306,cbff,3500,f3ff
11,9c,fd76,30e,c9ff,3300,f1ff
fff8,92,fd66,318,c3ff,3500,f2ff
ffca,8e,fd70,310,c2ff,3600,f4ff
29,a6,fd52,30e,baff,3200,f2ff
10,a0,fd66,30e,cfff,3200,f8ff
ff97,a6,fd72,30e,ceff,3b00,faff
ff28,a6,fd6e,308,d0ff,3900,fdff
fffa,92,fd72,30c,caff,3800,faff
fff7,9c,fd62,30e,c9ff,3800,f2ff
ffe8,a0,fd72,30e,d3ff,3600,f3ff
a,a6,fd76,30e,c8ff,3300,fbff
35,86,fd70,318,c7ff,2d00,faff
35,92,fd70,30e,c0ff,2a00,f5ff
d6,98,fd6e,30e,ddff,2200,f2ff
103,92,fd66,300,ddff,2e00,fdff
fe,9e,fd6c,308,d0ff,3300,fdff
a1,a2,fd6c,30e,c6ff,3300,faff
c6,a6,fd70,30e,c2ff,3400,f8ff
3f,98,fd70,30e,bdff,3200,f6ff
2e,a6,fd70,312,bdff,3000,f5ff
1a,82,fd6e,312,ceff,2e00,f9ff
fffe,8e,fd70,31c,c2ff,2000,feff
17,8e,fd60,318,c1ff,2900,f5ff
1a,92,fd78,308,c1ff,3300,fbff
18,9e,fd52,30e,ccff,3000,fcff
18,9e,fd6e,30e,d0ff,3000,faff
fffb,9c,fd7c,308,d0ff,2c00,fdff
fffd,a0,fd5c,30c,d5ff,2d00,f5ff
6f,92,fd70,30e,caff,2d00,f5ff
97,a2,fd70,316,caff,2e00,f9ff
ae,a2,fd6c,30e,cbff,2c00,f6ff
82,a6,fd66,30c,cbff,2c00,fbff
69,a0,fd70,316,caff,3100,300
7c,98,fd70,30e,ceff,3300,f9ff
8a,92,fd70,30e,cdff,3200,f6ff
53,82,fd70,318,c8ff,3000,f8ff
4b,9e,fd70,30e,c1ff,2900,f9ff
fef1,80,fd4e,31e,c0ff,2800,f9ff
ff8b,a6,fd6e,310,c6ff,2c00,eeff
ff89,96,fd66,300,c4ff,3200,efff
fffc,9e,fd6c,308,c7ff,3500,efff
27,90,fd70,308,cbff,3900,edff
52,a6,fd70,312,ceff,3800,eeff
11,a2,fd6c,30e,ccff,3200,f4ff
23,92,fd70,310,c5ff,3100,f7ff
64,9c,fd6c,30e,c2ff,3400,fbff
6e,90,fd70,308,c6ff,2e00,fbff
41,86,fd6c,318,c9ff,2f00,fbff
21,9e,fd78,30e,c1ff,3500,fdff
64,a6,fd70,30c,bdff,3900,f8ff
76,9c,fd6c,30e,c6ff,3400,f4ff
c6,8e,fd70,318,c8ff,2e00,efff
7a,8e,fd72,318,bdff,2d00,f4ff
f5,a0,fd6e,318,bbff,2500,f1ff
8e,9e,fd76,306,c2ff,3100,f6ff
3b,98,fd66,310,d2ff,3400,f2ff
50,9c,fd70,30e,d8ff,3600,f7ff
63,a2,fd78,30e,d1ff,3900,f9ff
24,a6,fd70,30e,c9ff,3100,fbff
6d,8e,fd6c,318,c2ff,3200,f8ff
2f,a2,fd70,318,baff,3600,f9ff
70,80,fd72,312,b6ff,3e00,f2ff
70,9e,fd72,30e,bfff,3900,f9ff
cf,a2,fd58,30c,c1ff,3100,ffff
da,9e,fd70,30c,beff,2800,faff
da,a2,fd72,30c,beff,2600,feff
cf,9e,fd6c,30e,c0ff,2c00,fdff
ec,8e,fd72,316,c3ff,2d00,fbff
ca,a2,fd70,30e,bcff,3600,f2ff
53,92,fd70,30e,b9ff,3c00,f0ff
4b,82,fd6e,318,b5ff,3b00,f5ff
