fffd,a6,fea0,3fe,d500,a9ff,49ff
ffa2,b2,fea6,406,6400,ffff,6dff
ffd3,b8,fea6,3fc,e701,3c00,1eff
5c,ae,fe9c,3fc,9902,7000,dff
15,b6,fe90,3f8,8102,a900,f7fe
ffeb,b8,fe96,3fe,402,db00,fffe
ffd9,b8,fe98,3f8,7a01,601,24ff
ffd7,a6,fe92,3ec,1501,3001,3aff
ff62,ac,fe8e,3ec,f1ff,1100,3500
ff21,ae,fe82,3e2,f4ff,0,3b00
ff13,b6,fe9c,3f0,1e00,0,2200
ff58,b8,fea0,3fe,1f00,f7ff,2b00
ff7f,a0,fe8e,3e6,dfff,e5ff,2d00
ffb9,b6,fe92,3f8,93ff,d3ff,2e00
fff7,a6,fe9e,3f8,6eff,c8ff,2e00
5a,a0,fe8e,3f0,7aff,ceff,2a00
80,a2,fea0,3f8,a5ff,dfff,1000
f4,a6,fe98,3f0,c9ff,efff,3b00
ef,a8,fe90,3f0,9dff,f5ff,3800
ca,c0,fe86,3f0,54ff,ecff,3800
d1,b0,fea6,3f8,3eff,e4ff,2900
c1,a2,fe90,3f8,63ff,e1ff,1f00
a0,b2,fe7e,3d8,2500,edff,1d00
e0,a0,fece,408,1d01,2700,1000
1b1,b6,fe90,406,a800,3200,95ff
167,ae,fe6c,3e6,78ff,c00,44ff
e7,86,fe80,40c,b7fe,ddff,6900
d5,c0,fe42,3de,c3fe,cbff,4100
45,a8,fe5c,3cc,6dff,e1ff,600
ffe9,b6,fea6,3e2,ceff,e6ff,f0ff
29,b0,fec0,3ee,4cff,bcff,fdff
43,b8,febe,3f6,f9fe,8dff,e5ff
1d,a6,feb8,3f0,4500,8300,e0ff
feb9,98,fe9e,41c,3300,7b00,e7ff
fea8,b0,fec8,438,f0ff,8000,1400
ff45,9c,feb6,418,b8ff,8800,600
ff96,ae,feb0,3f8,79ff,7600,f7ff
ff61,be,feb0,3f0,4bff,5f00,edff
ff83,bc,fe96,3e6,5fff,5300,e0ff
ffb4,ac,fe8e,3e2,90ff,5000,daff
ffe9,a2,fe7e,3fe,e0ff,5000,1000
29,c0,fe8e,3fe,2100,5300,200
7c,a0,fe9e,3fe,2700,5500,efff
