4b53,202,15e,3ce,ffdc,5e,5f
45e4,1d8,160,3ce,ffcc,64,58
4238,1ec,170,3d8,ffa7,6b,73
3f83,1d6,176,3e2,ff8d,71,77
3f5c,1ce,168,3e6,ff70,72,78
3e3f,1dc,16e,3ce,ff54,74,6e
3e0d,1e0,170,3d8,ff56,6e,61
3e16,1d8,182,3e6,ff6d,63,5f
3f0d,1c2,182,3e0,ff8b,57,ffab
3fde,1d0,18c,3d8,ffa8,4c,ff8f
3f5d,1ce,18c,3dc,ffc6,38,4e
3d3a,1c2,18e,3e6,ffda,30,3b
3a8a,1c6,198,3de,ffd7,2d,25
3c28,1c6,18e,3d2,ffb1,27,9
3b1b,1c0,182,3d2,ff82,24,ffe6
3927,1c2,180,3dc,ff68,20,ffca
3920,1c6,18e,3ce,c6,b1,ffe1
389b,1dc,186,3d8,78,ac,ffe5
378e,1ce,180,3be,38,9a,ff99
3659,1d2,180,3c6,15,87,ffab
3672,1d8,17e,3c6,13,75,ffb3
34cd,1e0,180,3d8,34,6c,ffba
3404,1e0,178,3d0,5e,62,ffce
33bb,1c6,178,3e6,82,58,ffd9
349b,1e0,168,3dc,7d,51,4c
3603,1d8,178,3e0,59,45,61
37ba,1c6,176,3d8,2c,46,ffec
3905,1d0,180,3e0,0,4a,fff8
393f,1c0,180,3ce,ffe8,50,5
39c4,1c0,17c,3ce,ffdd,55,19
39cf,1c6,178,3dc,ffd7,57,29
39be,1c6,18c,3d2,ffd6,58,3a
38ff,1c2,180,3d8,ff55,3d,a
3707,1d2,180,3e6,ff5b,35,19
3419,1dc,180,3d0,ff62,32,ffe2
3188,1d8,17e,3ce,ff68,3a,ffda
311d,1c6,180,3d8,ff66,3c,ffdf
2f50,1c8,186,3f0,ff5d,3d,ffe5
2f37,1be,182,3e0,ff4f,43,ffee
2fb1,1c0,178,3ec,ff4c,40,fffa
2fa9,1d8,16c,3e0,ff88,3a,ffe2
2f7c,1ce,182,3e0,ff51,36,ffd0
30bb,1d8,18e,3de,ff58,37,23
2fe8,1d0,18c,3d2,ff66,37,28
2e24,1ce,180,3d2,ff72,38,24
2cc9,1c2,180,3ce,ff7f,3c,1a
2b3c,1c2,180,3e0,ff85,38,b
29cd,1b0,18c,3e0,ff84,31,fff3
290e,1b0,180,3e0,fff0,58,3c
2a1d,1c6,17e,3d0,ffd9,5d,3a
29c3,1de,17e,3d8,ffbf,4d,5b
28b2,1d8,17c,3d8,ffb0,3a,52
27ab,1d8,170,3ce,ffb6,2a,42
2779,1e0,166,3d0,ffc8,26,41
277b,1e0,170,3dc,ffd1,2b,45
2817,1d8,170,3de,ffbb,2f,3f
28b8,1d8,172,3e2,ffa8,34,3
29c6,1c8,172,3ce,ff9a,36,fff1
2b13,1e0,178,3de,ff96,40,35
2d7d,1cc,178,3ce,ff9f,4b,35
2e6b,1de,172,3d2,ff93,51,39
2f0c,1c6,170,3ce,ff80,50,36
2f47,1d6,178,3e0,ff74,48,28
2ff1,1c6,170,3ce,ff62,42,17
3072,1c6,170,3d8,ffa0,ffd3,e
3089,1c2,17c,3d0,ffc4,ffcd,19
300a,1cc,182,3e0,ffe4,ffca,ffae
2e6d,1c2,17c,3ce,ffed,ffd2,ffbe
2e40,1be,17c,3e0,ffd7,ffdc,ffd1
2d95,1d6,178,3e0,ffc0,fff1,ffeb
2e2c,1ce,178,3d0,ff89,17,5
2ea7,1d8,17e,3d6,ff8b,36,c
2edd,1d0,182,3e0,ffc3,59,fffb
2e2b,1d8,188,3e0,ffa7,5b,fff3
2d14,1b8,180,3de,ff94,60,24
2e7c,1c6,17e,3dc,ff98,64,16
2e36,1b8,180,3e0,ffb3,6f,7
2f34,1c0,170,3de,ffc9,77,1
2e6f,1c0,178,3dc,ffcf,7f,fffc
2e21,1ce,16e,3c6,ffcc,86,fff6
2ed7,1c6,16e,3ce,ffb7,86,ff7c
2ec6,1d0,16c,3d6,ffb7,79,ff74
2f77,1d8,16e,3e2,ffb4,79,ffe5
2f22,1ce,168,3dc,ffb0,7f,ffd8
3050,1c8,15e,3e6,ffb1,7a,ffc2
2fac,1d8,15e,3e6,ffaf,78,ffab
2e62,1c6,168,3f0,ffc4,73,ff95
320d,1d8,172,3ec,ffbd,61,ff8d
325c,1d8,178,3e2,ff7c,4f,ff85
3341,1ce,176,3e0,ff83,38,ff9f
32c7,1c6,182,3dc,ff99,1e,ff63
3375,1c2,180,3e2,ff9c,b,ff53
32aa,1c0,186,3ce,ff92,fffb,ff57
31da,1b8,18e,3d2,ff8c,ffeb,ff5e
2f1d,1c6,186,3d2,ff9f,ffde,ff68
2e08,1c0,172,3d8,ff8c,ffd4,ff71
2b5a,1ce,170,3d2,ff83,5b,14
26ad,1c6,162,3e2,ff89,5d,16
234c,1c8,178,3e0,ffa1,5d,ffda
230d,1d2,166,3e0,ffbe,58,ffd4
22b7,1d0,170,3de,ffd0,56,ffdc
21bd,1be,168,3e2,ffcb,57,ffeb
21d6,1b8,180,3e0,ffb3,55,fff5
229c,1ce,180,3dc,ff97,51,6
238f,1c2,170,3d0,ff86,4c,37
21b3,1ce,170,3d8,ff86,48,3a
20c8,1be,178,3e0,ffa3,41,21
2135,1ce,17e,3e0,ffbf,3f,25
22fe,1d2,172,3e0,ffc7,3d,26
2432,1c0,178,3d8,ffbe,3a,28
23a8,1b2,178,3e6,ffb2,3a,28
257f,1c2,182,3e0,ffa7,3d,2d
260b,1c0,180,3d8,ff9b,33,3d
2641,1c6,178,3e0,ff8f,23,47
2711,1ce,178,3e0,ff90,1c,44
2700,1c6,17c,3de,ffa0,18,47
2704,1c6,170,3ee,ffb7,15,43
2786,1cc,17c,3e0,ffc7,15,41
26f6,1c0,178,3e6,ffc7,15,3e
27b5,1c6,17c,3dc,ffc0,18,36
29b7,1b0,17e,3e0,ffb8,1e,68
2ad6,1d6,178,3dc,ffc7,25,6c
2ae6,1b8,178,3e0,ffd5,23,4d
2b89,1be,178,3ce,ffd8,25,4e
2b9e,1ce,170,3de,ffc6,2c,50
2b60,1b0,178,3e2,ffac,32,5d
2915,1c6,172,3d8,ffa3,31,63
2bc1,1cc,168,3d8,ffb3,31,65
2bd7,1ce,178,3e6,ff77,5c,26
2a8c,1c0,16e,3cc,ff92,73,c
28a9,1be,16e,3ce,ffae,75,4
26cd,1c6,166,3e2,ffc4,6e,12
26b1,1c6,172,3dc,ffbd,70,28
27fc,1d0,170,3e2,ff9f,72,33
2849,1c6,166,3dc,ff74,6f,35
2871,1b0,16c,3e8,ff69,69,32
287b,1cc,170,3e0,ff6f,64,ffdf
2837,1bc,16e,3e2,ff97,64,ffe8
28ce,1ce,160,3dc,ffb7,54,fff1
2866,1c0,170,3d8,ffbe,3f,ffdb
2816,1b8,170,3e2,ffb8,35,ffd4
2791,1ce,176,3d8,ffaf,26,ffd0
25de,1d2,17e,3de,ff7e,16,ffd4
25ae,1dc,180,3dc,ff62,f,ffd7
251a,1c2,172,3d8,ffa0,d,12
2416,1c8,166,3d0,ffb4,13,11
23ad,1c0,170,3e0,ffdd,16,fff4
22a8,1d8,170,3ee,fff7,14,fffa
2415,1c2,166,3f0,fff3,13,fffb
241e,1c2,170,3e6,ffce,15,ffff
2517,1c6,170,3e6,ffa5,21,8
252a,1c0,178,3d8,ff9d,2c,e
2644,1ce,16e,3e2,ff87,4f,ffe1
2672,1b2,170,3ec,ff88,38,fff1
2825,1c6,170,3d8,ff9e,3a,ffd4
273e,1ce,176,3e0,ffae,40,ffc9
25ff,1d0,17e,3e0,ffb1,45,ffc3
25d4,1be,168,3de,ffb3,49,ffc8
2519,1ce,15c,3e0,ffa2,50,ffcc
2653,1c6,170,3e0,ff88,56,ffd6
2750,1ce,172,3e0,ff6d,28b,fe8f
2604,1b8,168,3f0,ffd8,2ae,fe6b
2202,1be,16c,3ce,6,2c4,ff5e
21cf,1d0,166,3d8,d,2dc,ff4d
1fcc,1c0,170,3d2,fff9,2fb,ff23
1f44,1b8,170,3d8,fff3,317,fefa
1e9e,1a8,178,3e0,18,340,fed6
1eff,1ae,172,3d8,56,374,feae
1daa,1c0,16e,3d2,b1,3b9,fcbe
1cf8,1ce,180,3d2,f7,411,fc80
1b74,1c2,17c,3ce,f5,47d,fe44
1a33,1c6,160,3ce,c4,4f6,fe14
19b8,1c6,166,3d0,98,586,fdd8
1934,1b2,160,3d8,9f,62d,fd9b
17a8,1be,170,3ce,e3,6f3,fd57
1758,1c8,170,3d2,16d,7bd,fd0c
17be,1c6,168,3ce,24c,896,faf3
171d,1b6,150,3d8,322,980,faac
1767,1b0,14e,3c6,3a3,a43,fc59
1a4f,1b8,150,3ce,39d,afd,fc39
1a8b,1b2,15c,3dc,319,bb7,fc1a
1d2f,1a0,160,3c2,252,c4e,fbe8
1e7a,198,152,3c2,1bc,cd6,fb8c
1ed5,198,160,3b0,183,d53,fb31
1e19,19e,16c,3ac,ffae,162,ff80
1bf9,18e,16c,390,ff8c,172,ff68
168c,190,14e,378,ff49,199,ffe1
eb7,180,13e,350,fefb,1cf,ffcc
498,160,150,370,feb8,200,ffcc
