50e3,1a6,192,386,3cc,15be,f90f
4c2b,1a8,17c,37e,1ca,15ce,f978
48fe,198,15c,362,ff79,15c9,f9f3
4531,190,16e,34e,fd9d,15bd,f9a7
3fef,198,190,35e,fcb1,1573,f926
3b4e,170,1b0,36c,fd02,14fa,f8d8
37c4,160,196,35c,fe40,146e,f8c0
3514,146,160,326,ffe7,13ab,f8c7
326a,128,16c,34e,1a9,12c1,fac3
318d,118,1e0,3ce,327,11df,fa9f
337e,c6,222,406,3ea,1112,f9bc
3894,bc,1ce,3ec,3c0,1060,fa02
414c,b0,178,3b2,2cd,fcd,fa63
498d,9e,1a0,3e0,165,f3b,fab3
5262,72,206,41e,ffed,e9d,fac8
5bdf,26,230,44e,fed8,df2,faca
6826,1e,20e,44e,fe8e,d4a,dc
755d,fff8,1c0,442,ff23,cbb,110
7fff,ffd8,1b8,460,53,c5b,fa85
7fff,ff98,1e0,462,1b9,be1,fa8c
7fff,ffa2,21c,47e,2d0,a42,faa4
7fff,ffac,230,490,300,6ea,fb51
7fff,ff98,218,47e,223,3d7,fd1d
7fff,ff86,1ee,43c,107,1b5,ff45
7fff,ff8c,1cc,406,4fb,ffdd,ff6f
7fff,ff60,21c,460,cd,fe3e,ff5d
7fff,fed6,2c6,5c0,167,fd26,55
7fff,ff22,2e0,60e,235,fcc1,19
6d78,ff8e,268,550,2f6,fce1,3f
4f69,ffbc,1f0,440,3be,fd4d,fffc
2ac0,ffe0,1b8,38e,485,fde4,ff9a
3e6,ffa6,1c8,35c,503,fe8a,ff71
ddde,ffa6,1e0,34e,189,73,ffb8
b99a,ff70,1f0,370,1dd,6d,ffb2
999f,ff58,20c,38c,211,81,ffb0
8248,ff40,226,3de,22c,88,ffa6
8000,ff38,21c,412,23e,76,ffa2
8000,ff4e,1fe,418,227,7b,ffa1
8000,ff80,1fe,406,1dd,93,ffa1
8000,ff98,206,3e6,179,a3,ffae
8000,ff9c,206,3e6,122,9c,ffe9
8000,ff98,226,3f6,ee,8e,ffee
8000,ff8e,226,3f8,d7,75,ffb5
8000,ff8e,226,3f0,d3,59,ffbb
8000,ff80,21e,3f8,d9,2f,ffd8
8000,ff8c,212,3f0,be,fffc,0
8000,ff7c,1fe,3cc,80,ffda,6
8000,ff78,1fc,3ce,4f,ffc9,fff3
8000,ff80,1f8,3bc,5b,ffc3,ffcc
8000,ff98,1fe,3d0,a7,ffbd,ffbb
8000,ff7c,20c,3de,e6,ffcc,fffa
8000,ff7c,21e,3e0,fa,ffe8,fffe
8000,ff70,21e,3dc,ef,3,7
8000,ff7c,21e,3cc,b5,d,f
8000,ff78,212,3dc,67,13,fffa
8000,ff80,21e,3f8,28,16,ffe0
8000,ff76,226,3f8,ffdb,31,ffe3
8000,ff70,22e,3e6,ffbe,36,ffc9
8000,ff8e,226,3d8,ff9e,26,22
8000,ff8e,210,3cc,ffc3,18,1f
8000,ff7e,226,3d8,19,27,3
8000,ff8e,232,3dc,7b,39,fff0
8000,ff80,238,3d8,e0,46,fff6
84aa,ff8c,21e,3ce,13c,60,fff4
8dc9,ff8e,222,3c0,79,12,fff8
9480,ff80,226,3c0,74,1b,fffa
9964,ff80,228,3d8,5e,13,ffbf
9ce8,ff88,226,3d2,36,10,ffc0
a491,ff70,230,3e6,fff7,18,ffc0
ab0e,ff80,226,3f0,ffb1,28,ffcf
af8f,ff88,218,3e0,60,39,ffdd
b519,ff78,222,3d0,6f,41,ffec
b9d8,ff70,21e,3d2,ff6c,42,fff9
be2b,ff86,21c,3c6,ff89,3a,ffee
c245,ff6e,222,3d8,ff99,3e,fff9
c4a8,ff86,222,3d6,ff94,3b,fff9
ca1d,ff7e,22e,3d8,ff86,3d,fffa
ccaa,ff86,21e,3ce,ff79,48,fffe
d0e6,ff82,222,3d6,ff76,46,4
d390,ff88,220,3d0,ff62,3e,1
d709,ff86,230,3d8,ff9a,34,fff1
db20,ff78,22c,3d2,ffa2,2a,ffe4
debf,ff76,21e,3d8,ffb7,25,29
e0d7,ff88,226,3e0,ffd5,1f,1f
e300,ff80,22c,3dc,fff6,18,10
e6f5,ff80,226,3d8,2,18,8
ea90,ff72,21c,3d2,ffec,20,ffff
ec44,ff7c,230,3cc,ffc9,25,fffb
eeff,ff88,22e,3d0,ffa5,2b,ffc3
f244,ff7c,238,3c6,ff8a,22,ffbd
f453,ff78,22e,3cc,ff90,26,ffde
f74b,ff82,230,3ce,ffaa,2a,ffdb
fa16,ff78,230,3d2,ffc7,23,ffd1
