df0f,fe98,23e,35e,fe53,fe41,fe5d
dbaa,fe9c,23e,35c,fe70,fe45,fdcd
d72f,fe9c,22e,34e,ff64,fe62,ffa4
d47b,fea8,230,34e,8a,fea2,ff69
d1b3,fe9e,23e,35e,11b,fef1,ff5d
d0db,fe90,24c,368,d9,ff3f,ff63
cfd2,fea6,24c,378,0,ffa0,ff4c
d053,fe9c,242,378,ff24,20,feee
d148,fe98,238,36e,ff55,ffcd,1b
d221,fea6,236,360,ff5a,ffcc,11
d2a1,fe8e,23c,35c,ff6e,ffd6,3c
d34a,fe98,23e,35e,ff7b,ffe1,3d
d3dc,fe8c,240,368,ff7f,ffe1,39
d46e,fe8e,232,366,ff77,ffe3,34
d5eb,fe8c,23e,360,ff74,ffe4,30
d532,fe8c,246,366,ff82,ffe6,2a
d614,fe9e,246,360,ff9b,ffe7,ffe4
d74d,fe9e,246,35e,ffa9,ffdf,f
d657,fea6,246,366,ffa3,ffd3,e
d73d,fea6,236,366,ff92,ffc4,8
d672,fe92,236,366,ff94,ffb0,fff7
d603,fe9c,246,380,ffa1,ff9d,ffed
d5a7,fe80,258,386,ffcd,ff8d,ffef
d567,fe90,238,376,27,ff6b,ffe4
d6d2,fe98,246,376,5e,ff30,87
d7b3,fe9e,24e,380,a,fefa,12
db71,feb0,220,35c,ff63,fec9,43
db86,fee6,202,33e,ff05,fe99,3b
dbb8,feec,21e,338,ff45,fe6d,e
db83,fef8,20e,340,ffc2,fe4e,8
db52,ff00,1ee,330,ffb6,fe42,51
daa2,fefc,1ce,318,feff,fe3d,a1
d761,fee0,1ce,31c,4af,38f,fc44
d1d0,feb0,1d8,340,3ff,2cd,fbcb
ca09,fe9e,218,380,230,1c0,fc42
c452,fe8e,252,3c8,ff90,a2,fd44
c0b1,fe78,252,3d2,fc5f,ff9e,fde1
bebd,feb0,23e,3a6,f907,fef5,fdf3
bd15,fe8e,240,36c,f689,fe85,fd92
ba32,fe9c,230,31e,f5a0,fe4e,fcec
b4ac,feb0,206,2e8,f626,fe92,f9b6
afac,fe8e,20c,2ce,f7cb,ff28,f962
ab74,fe86,23e,306,fa6b,ffc7,fb37
a786,fe32,2a6,37e,fd85,3d,faaa
a7a7,fdf0,310,3fe,1e,a6,fa78
aa23,fe08,2fc,41c,144,f4,faa0
b2d6,fe32,26c,3b0,d3,103,faab
b84b,fe70,1b2,322,ff6d,f1,fa49
baf9,fe96,14e,2c0,fdff,c3,f8ef
ba00,fea0,13e,2e0,fd16,7c,f9e1
b964,fe78,1a0,34e,fcbc,34,f98e
bac5,fe66,1fe,398,fcb5,11,fa1b
bd39,fe58,210,3b2,fca1,59,faa5
c2b5,fe3e,22c,3d8,fc67,109,faa6
c843,fe3e,1fe,3ce,fc98,192,f9de
cd4e,fe66,1c0,39e,fdac,1c2,f8e4
d09d,fdf8,1f0,3e0,feeb,1e3,f59e
d09f,fdde,218,41e,ff6f,229,f5c6
d18b,fe28,1bc,3dc,ff1d,29d,fa28
d21e,fe1e,160,38c,fea4,364,f96a
d015,fdf0,180,382,fec4,44a,f836
cb90,fd98,1d6,398,ffc5,519,f6e1
c6c0,fd3e,1d8,3b8,185,5dd,f5e7
c5a2,fd20,1d0,3b8,371,671,f58c
c7dd,fce2,1ce,3ae,fbd9,4b9,46e
ccbd,fcf8,1e2,38e,fc83,4d9,431
d570,fcd8,1bc,328,fd8c,500,4de
e2af,fcd2,190,2e2,feb6,544,4ea
f407,fcc0,1b0,2fe,ffb2,5a6,4fd
691,fca8,1e0,312,61,607,50f
1b3e,fca6,1de,320,af,65b,4f7
2fcc,fca2,1ec,30e,ac,6aa,4b8
3ecf,fcc0,1f0,306,31,6f4,31f
4af6,fcb8,1f2,2f8,25,744,318
524b,fce0,1d6,2e6,4a,787,401
52bb,fd0c,1c0,2d0,a8,7c1,3d7
4f7b,fd26,1bc,2bc,11a,7f8,3b0
48b7,fd30,18e,2a0,181,844,380
3db2,fd1e,16e,29e,86,8a0,34b
2ee2,fd5c,13e,27e,58,8f3,325
1cf0,fd5e,12e,276,18e,93b,285
8c3,fd86,12e,260,d4,986,25b
f3ae,fd86,128,260,ffbd,9ba,2f2
df84,fd9e,11e,260,fe67,9e2,2c7
cb0d,fda2,106,250,fcf2,a03,2a5
b59c,fdb0,f2,23e,fb94,a13,28d
a0ef,fde2,e0,226,1cb,a1e,284
8c88,fdde,e0,21e,1dc,a1e,28c
8000,fde6,f2,210,f7f6,a08,ff9c
8000,fdf8,ec,206,fa52,9e1,ff10
8000,fe0c,10e,20e,f9ac,9c3,1fa
8000,fe18,fc,1f8,f946,9b0,174
8000,fe00,f2,1e2,f917,9b0,11a
8000,fe26,e6,1d6,f8e7,9b4,dd
8000,fe1e,f0,1ce,f89c,9c7,85
8000,fe3e,f8,1cc,f83e,9f9,14
8000,fe28,f8,1ce,f784,6f4,105
8000,fe06,f0,1d8,f9f0,5d8,14d
8000,fe26,11e,1e6,fcb0,4b0,ffa5
8000,fde6,130,1ee,ff79,391,ffa3
8000,fdd0,160,1e6,237,29b,ffdd
8000,fd86,18e,1fe,4ae,1de,40
8000,fd72,1ce,210,6a0,158,8c
8000,fd58,1fc,212,7e2,102,c1
8000,fd38,1ec,1ee,8af,cf,23a
8000,fd3a,1e6,1e0,97f,b5,231
8000,fd1e,206,1c6,a58,ac,184
8000,fd10,218,1d8,b16,a8,1b8
8621,fd2c,1ec,1b8,b9e,b0,1eb
94d8,fcce,1f8,1c6,bf3,b7,217
a4ce,fcc6,24c,1e2,c31,bf,23b
b9f4,fcc6,238,1ce,c7c,cc,244
