a,b,c
OutSim[0], 0x0B2C,
OutSim[1], 0xDC37,
OutSim[2], 0x08F9,
OutSim[3], 0xB27F,
OutSim[4], 0xDEF2,
OutSim[5], 0x1B2B,
OutSim[6], 0x2970,
OutSim[7], 0xF62B,
OutSim[8], 0x426F,
OutSim[9], 0x1A69,
OutSim[10], 0xBAE3,
OutSim[11], 0xE2B3,
OutSim[12], 0x29EC,
OutSim[13], 0x17B9,
OutSim[14], 0xEC61,
OutSim[15], 0xFC81,
OutSim[16], 0x1FBD,
OutSim[17], 0x9F03,
OutSim[18], 0x89CB,
OutSim[19], 0xA265,
OutSim[20], 0xB8E5,
OutSim[21], 0xBC5C,
OutSim[22], 0x2628,
OutSim[23], 0xA094,
OutSim[24], 0xF584,
OutSim[25], 0xEB0E,
OutSim[26], 0xAFE3,
OutSim[27], 0xDD5D,
OutSim[28], 0xA8F9,
OutSim[29], 0xB0F9,
OutSim[30], 0x13BF,
OutSim[31], 0xFD40,
OutSim[32], 0xD8C0,
OutSim[33], 0xAFE6,
OutSim[34], 0xB7E6,
OutSim[35], 0xB10C,
OutSim[36], 0xDA9D,
OutSim[37], 0xCB15,
OutSim[38], 0xA542,
OutSim[39], 0xA757,
OutSim[40], 0xA2C7,
OutSim[41], 0xCEF0,
OutSim[42], 0xDFE8,
OutSim[43], 0xC140,
