b9d,f2,326,2ec,ff04,86,ffa5
970,f8,326,2f8,ff24,94,ffa2
859,108,338,312,ff5d,9d,b
7c9,fe,340,318,ffb3,a1,ffd1
85e,fe,32c,2fe,14,9a,ffbe
757,f0,326,306,40,8a,ffd6
8b7,f2,326,2f8,1c,7c,ffe3
8e0,ec,336,306,ffdd,71,ffcb
94a,ee,33c,2f0,ffc5,6b,fff1
a6b,e2,338,302,ffe8,5e,fff1
a50,f0,330,2fc,a,62,ffc4
a78,e6,322,2fe,6,6a,ffe7
ae2,106,318,300,ffeb,69,fff9
baf,10e,32c,306,ffcb,65,ffef
d4c,126,332,300,ffd4,5a,ffe0
dcf,fe,33e,2fc,fff2,50,ffe0
e2b,10c,33e,2e6,68,ff94,17
eeb,fe,33e,2f8,c6,ff8a,3b
c41,fe,338,2fc,10a,ff88,ffe7
f03,f8,33e,30c,129,ff87,ffef
fed,f2,332,302,109,ff8d,fff9
102a,d0,32c,302,bc,ff96,fff2
1027,f0,322,2f2,70,ffa0,fff4
1152,e6,330,2f8,28,ffb6,11
10f3,10c,332,2fe,ffdf,ffd1,5c
f7e,fe,330,2f8,ff91,fff5,35
1019,120,32c,2f0,ff6c,e,56
109a,118,332,2fc,ff66,28,56
f61,10e,338,2f6,ff54,4c,6d
f50,108,33e,2f8,ff37,65,87
dd4,106,32e,2ec,ff0d,77,83
efb,e0,33e,2f8,fef8,84,76
de2,fe,330,2f8,ff73,49,36
b23,f0,330,2f8,ff79,41,2f
a2a,118,326,2fe,ff92,4a,14
a18,118,330,2fe,ffb2,44,20
871,fe,33c,2f8,ffd2,2e,25
827,f0,340,300,ffff,25,23
820,106,338,2fe,1b,1f,2d
842,fc,330,2ec,e,12,34
891,e6,332,2f6,ffed,55,ffe3
74d,f0,338,2f0,ffdc,62,ffe5
933,e6,33e,306,ffdc,68,4
89d,f2,338,2f8,ffea,68,fff1
94d,fe,332,302,d,6b,ffe5
925,fe,330,2f0,3b,6b,ffd9
a3b,f2,332,2f2,66,64,ffd8
9aa,f2,33e,2e8,7e,5e,ffe0
812,f0,342,2f0,84,5a,ff84
9b7,10e,336,2ee,6d,49,ff94
8df,f8,332,2f2,39,45,ffdb
a0a,f0,330,2ee,c,46,ffbc
a81,ee,338,2f8,ffea,3e,ffa4
804,106,332,2ee,ffe2,3c,ff93
9fe,f0,33e,2f0,fff3,37,ff81
879,f6,336,2f0,f,31,ff79
99d,f8,338,2f8,26,30,ffff
c1e,f0,330,2ee,38,38,d
a37,e6,332,2f2,30,36,ffa1
9f4,f2,33c,2e6,13,35,ffb3
a52,f0,342,2ee,ffe7,37,ffc9
986,106,33e,2ec,ffb6,38,ffd6
9be,f8,338,2f0,ff88,42,ffe0
a3d,fe,338,2ee,ff72,46,ffed
a19,f2,330,2f0,ffb5,3d,10
823,10e,330,2f0,ffda,37,1
5da,f8,338,2f6,fff2,37,fffa
61e,ee,33e,2ee,ffef,3e,2
545,e8,33c,2f8,ffe1,44,11
573,fe,330,2f2,ffcb,43,23
602,f0,33c,2f8,ff81,41,29
502,f8,33c,2f2,ff95,43,24
47e,fc,33c,2f0,ffba,39,e
43e,108,336,2e8,ffa8,2d,19
507,ee,33e,2fe,ffa9,2e,fffe
4dc,f0,346,2ee,ffb3,32,fffe
3c6,ec,338,2f2,ffc9,2f,fff9
5f2,f2,338,2e6,ffde,33,fff1
483,ee,338,2f6,ffcb,31,fff4
543,f2,338,2f2,ffcb,30,2
407,ec,33c,2f8,ffcd,2c,fff8
3f5,f2,336,2ec,ffc1,2b,fff6
503,e6,33e,2f8,ffaa,35,1f
550,102,332,2f0,ff9a,3d,22
695,ec,33e,2f8,ff91,40,24
65a,10c,336,2f0,ff93,40,20
63a,ec,33c,2f2,ffe4,41,11
66d,f0,330,2e8,ffdb,3d,9
7e6,f8,338,2f0,ffe0,3d,3
725,f2,33e,2ee,5,42,fffd
71c,ec,342,2fe,d,34,fff2
7f8,f8,33e,2ec,fff1,29,fff7
764,f0,330,2e8,ffc2,2b,3
74e,f6,332,2ee,ff92,33,6
6f0,f0,33e,2f8,ffa1,3a,6
821,fc,33e,2ee,ffb6,3e,7
734,f0,33e,2f0,ffdf,23,e
68a,e6,338,2fc,ffef,2d,13
3dd,fc,338,2f0,fff7,2b,ffe4
3f0,f8,346,2f0,fff4,2c,ffec
430,106,330,2ee,ffdc,30,fff8
23d,e6,33c,2f2,ffbd,33,ffff
2b2,10e,338,2f0,ffa3,35,7
279,f8,346,2f0,ff8f,3f,e
351,fe,33c,2f0,ff88,46,3
308,106,330,2ec,ffa0,46,fffc
130,fe,330,2ee,ffb7,49,1d
3a5,e0,33e,2f8,ffc3,43,29
3ca,fc,338,2f0,ffc9,3b,2a
1ef,108,330,2e8,ffd6,36,14
324,10e,332,2e8,fff4,30,1
2f6,fe,346,2f0,13,2f,3
21c,106,33e,2ec,1d,33,ffd9
276,fe,332,2ee,5,31,ffd3
1c8,106,330,2f0,ffe4,24,fff2
295,e6,338,2fe,ffc4,1a,ffe5
262,fe,33c,2ec,ffab,17,ffd3
2c6,f8,33e,2e6,ffa9,19,ffc5
3d2,10c,342,2f0,ffb4,1d,ffc2
3a0,102,33e,2e0,ffc4,1e,ffd0
600,fe,332,2e6,ffdc,1a,ff94
4cb,e6,33e,2f2,ffeb,f,ffb8
47c,f8,338,2f0,ffff,9,ffc3
4b5,ee,33e,2ec,16,fffb,ffae
526,108,338,2e6,1c,ffea,ffa4
62a,106,330,2e0,2e,ffde,ff99
48c,10c,33c,2e2,4f,ffd1,ff87
5d9,fe,34e,2f8,77,ffcd,ff87
604,f8,346,2f0,ffb9,2c,ffe0
2f0,f8,338,2ee,ffa0,21,ffe6
327,fe,330,2e8,ffb8,1b,a
292,ee,332,2e0,ffcc,1e,1a
11f,f0,33e,2f0,ffc5,14,ffca
100,fe,346,2e8,ffa9,a,ffe3
188,106,33e,2e6,ff68,b,9
1f8,e6,340,2f0,ffc3,15,ffea
1ab,f2,33e,2e8,ffb4,1a,1f
20c,f8,33e,2e8,ffbf,1e,28
275,f0,338,2f2,ffc1,2a,ffdd
200,f8,33e,2e6,ffa4,37,ffe1
24f,106,342,2ee,ff80,3d,fffe
390,e6,342,2e6,ff6f,40,14
34a,f8,33e,2ec,ff98,3e,26
496,f8,32e,2e2,ffa6,36,31
3ef,106,336,2de,ff9c,3d,e
470,ec,346,2fc,ffa0,47,f
344,fe,340,2f2,ffa9,40,2c
11f,10e,33e,2f6,ffaf,3a,32
196,f8,33e,2e8,ffad,35,2f
f4,fe,33c,2e8,ffa4,31,1d
109,fe,33c,2ee,ff79,29,1a
2d7,fc,33e,2ec,ff8d,26,10
226,fc,338,2ec,ff9d,2d,ffe1
3a4,f2,33c,2ee,ff94,3a,ffc7
39d,fe,33e,2f2,ff92,34,fff6
2e4,ee,33e,2ec,ff90,30,3
45c,106,33e,2f0,ff83,31,f
465,106,338,2e2,ff6d,29,b
46c,fe,33e,2e2,ff4e,24,fffa
6bb,f8,338,2ec,ff2c,28,fff0
5d4,10c,338,2f8,ff8d,57,d
4d7,f8,342,2f8,ffaa,4c,b
288,ec,338,2f8,ffda,44,fffe
1d9,f6,33e,2ee,9,41,1
2f2,ee,33e,2ee,27,3b,ffff
34a,ec,33e,2ee,2b,37,8
327,f8,340,2f0,14,3a,12
47c,106,33e,2ee,fff0,34,10
396,f8,33e,2f0,ffd1,33,c
342,f0,33e,2e6,ffa5,3d,ffe2
40a,e8,33e,2f8,ff89,41,a
418,f6,342,2f0,ff94,46,ffde
58a,e6,33e,2f0,ffdc,44,ffc8
41e,ec,338,2e8,3d,41,ffdd
48a,f0,33c,2e6,51,37,11
3d2,f2,33e,2e6,f,2d,2a
333,f8,346,2ec,bc,28,ffb3
2ee,f8,34e,2ee,ffc3,1c,ffe6
1fc,f0,33e,2ee,ffdb,1d,ffbd
1ea,f0,338,2ec,2e,1f,ffc9
18e,e6,338,2f6,62,15,ffee
221,f6,33e,2e8,54,8,fff6
1c8,f8,346,2ec,49,fff4,ffe0
255,fe,34e,2f0,7b,ffe9,ffbd
13e,f0,340,2ec,4,44,4
c6,ee,338,2e0,9,4c,0
