fa97,23c,1f0,346,ffd0,26,fff0
fb16,23e,1fc,368,fff1,1d,ffd8
f924,260,1f0,370,37,17,ffdb
fa22,23e,1de,366,6e,10,ffca
fc67,246,1d0,350,7c,e,ffce
fd3a,248,1d8,35e,5a,14,ffe5
fdd6,246,1de,350,29,1b,1
bd,238,1e0,358,7,19,9
187,24e,1e0,33c,fffa,1e,ffd1
108,266,1ec,346,0,28,ffbf
15c,260,1f0,352,10,32,ffd5
424,252,1ce,358,19,3d,ffd5
40c,260,1cc,34e,23,3f,ffcf
3fe,256,1dc,34e,2e,40,ffca
405,25c,1e6,358,22,4c,ffd0
4dd,260,1e0,35e,fffe,56,ffd7
5e6,25e,1e6,360,48,10,49
694,252,1de,348,4e,10,26
648,258,1c6,33e,d,1f,3b
44a,23e,1e0,352,ffb9,2f,43
40a,23c,1f0,362,ff78,34,3a
3d8,246,1ec,368,ff62,38,44
4df,258,1d0,34e,ff66,3e,5f
2d2,250,1e0,348,ff71,41,65
25c,260,1e0,34e,ff93,3d,15
ffea,25c,1e6,358,ffce,3a,fffb
a,246,1e6,360,6,3c,26
5,25e,1e6,35e,2c,2c,33
ff49,24e,1e0,358,3f,21,39
52,25e,1ee,34e,2b,25,39
ff1b,23e,1fc,35e,fffa,28,32
fe29,250,1f2,346,ffda,2c,24
fdd5,23e,1fc,358,ff27,49,ffe9
fcc8,24e,1e8,358,ff3a,44,fffd
fa7e,260,1d8,346,ff40,4a,fff2
fa93,24e,1de,34e,ff44,4e,fff3
f891,262,1e0,34e,ff63,3b,ffdd
f7ac,25c,1ee,360,ff97,2b,ffd0
f73d,260,1e6,35c,ffca,26,ffc8
f7fc,24e,1d6,346,ffe4,24,ffd4
fa91,246,1de,34e,ffb8,18,b
f962,238,1ee,35c,ffa4,12,1
f9dc,246,1f8,34e,ffb8,a,25
fa6a,23c,1f2,358,ffe7,d,15
fb20,258,1ec,352,19,f,19
fd0a,242,1e6,340,2a,2,2c
fd0b,260,1ec,34a,22,fffa,32
fc6c,258,1f0,340,16,fff6,21
fce3,24e,1f0,358,9,5,ffe4
fd74,258,1f0,358,fff3,25,fff1
fdf1,246,1ee,358,ffd8,30,6
16f,24e,1e0,356,ffb4,2e,e
fee2,246,1e8,350,ffae,28,fffb
fe5c,246,1f2,352,ffd1,21,ffe1
ff96,24c,1f0,342,fffb,23,ffd5
d4,24c,1fe,35e,1c,2a,ffd6
fc,240,1f2,34e,28,2a,fff6
1ff,24e,1f0,348,e,40,ffde
