eb,4e,4e,46e,ffcf,39,fff6
fff8,58,46,45c,ffd3,2d,fff7
cb,60,46,46c,ffd1,2f,fff6
17b,6e,52,470,ffcc,32,fff4
1fe,60,3e,460,ffcc,30,fff4
61,58,4e,452,ffcb,35,fff5
132,58,4e,460,ffcf,33,ffef
143,66,4c,466,ffd1,33,ffec
d8,66,3c,45c,ffce,36,fffb
102,50,4c,460,ffca,40,fff8
3,46,4e,46c,ffcd,39,fff1
171,56,4e,458,ffc7,31,fff7
e0,4e,46,46c,ffcb,35,fff6
16d,5e,4e,45e,ffc8,34,fff6
52,40,4e,46e,ffca,32,fff1
99,56,4e,460,ffcd,33,fff5
a8,5c,4e,460,ffcb,31,fff3
116,60,46,460,ffca,29,fff3
15,66,46,45e,ffce,2e,fff4
138,60,3e,460,ffd0,2e,ffed
16e,58,50,462,ffcf,31,ffef
2d,5c,4e,460,ffd1,37,fff3
139,52,4e,45e,ffce,35,fff2
fff0,66,46,470,ffce,32,fff6
13d,4e,50,470,ffc3,35,fff7
c1,46,52,46c,ffc0,3a,fff9
1d9,5e,52,462,ffc4,36,fff2
e9,52,46,46c,ffc9,31,fff7
111,4e,4e,46c,ffc5,35,fff5
14b,42,50,46c,ffc9,35,fff0
32,52,4e,460,ffcc,32,fff2
109,60,4e,468,ffca,36,fff4
77,66,38,460,ffc9,30,fff5
36,42,40,460,ffcd,30,fff7
96,62,4e,466,ffca,34,fff5
155,5e,48,460,ffc8,35,fff7
115,60,4e,462,ffc6,33,fff5
2ae,60,4e,45c,ffc3,30,fff2
3a1,66,4e,462,ffc1,2e,fff4
22c,66,46,460,ffc2,32,fff7
14b,50,50,462,ffc4,33,fff4
1ff,60,4e,466,ffc6,39,fff9
17d,50,52,45e,ffc7,34,fff6
54,60,46,460,ffc5,36,fff2
8f,58,4e,458,ffc2,36,fff5
1b3,5e,52,466,ffc6,33,fff5
18f,4e,4e,466,ffc9,35,fff3
4d,58,4e,460,ffc9,36,fff2
1c4,5c,4e,462,ffc9,33,fff7
12f,46,4c,46e,ffcd,3b,fff3
193,4e,50,46c,ffd0,36,fff8
1b8,66,4e,466,ffc8,2c,fffb
16a,52,4e,462,ffc7,31,fffb
15a,58,4e,462,ffcd,35,fff5
fc,62,46,460,ffce,35,fff4
148,60,4e,462,ffca,30,fff8
3a,60,48,460,ffc4,30,fff6
26a,56,46,460,ffc8,27,fff6
101,66,4c,466,ffca,2f,fff3
21d,4e,52,468,ffc3,38,fff4
145,62,4e,466,ffc7,36,fff6
c5,5e,50,460,ffcc,32,fff7
1de,40,4c,46c,ffca,31,fff1
b,5c,4e,460,ffc4,33,fff3
192,66,4c,466,ffca,39,fff5
ee,58,4e,45e,ffc9,42,fff7
120,60,4c,466,ffcb,3a,fff0
15,62,4c,45c,ffcd,31,fff1
93,66,3e,460,ffc8,2d,fff1
9f,5c,4e,45e,ffce,33,fff4
fd,66,38,460,ffcf,32,fff4
150,58,4e,45e,ffca,30,fff0
b9,52,4e,45e,ffce,2e,fff5
188,58,4e,462,ffd0,34,fff4
a6,50,4e,460,ffcb,32,fff3
10e,5e,46,460,ffc9,2f,fff5
100,50,50,468,ffcf,2f,fff4
50,66,4e,466,ffca,2e,fff6
169,60,50,460,ffca,32,fff4
117,40,50,46c,ffcf,37,fff1
d6,54,4e,460,ffcd,37,fff4
c1,52,46,46e,ffc7,39,fff3
208,60,4e,45e,ffc6,34,fff4
14e,50,46,458,ffce,36,fff2
1dc,52,4e,45c,ffcd,35,fff7
13a,60,4e,460,ffc9,31,fff9
64,5c,52,460,ffc9,33,fff6
fffe,50,48,456,ffc6,32,fff4
f5,5c,4e,460,ffcb,32,fff2
203,50,3e,46c,ffcd,29,fff4
10e,62,52,460,ffc8,2d,fff3
155,4e,4c,468,ffca,37,ffee
14c,4c,50,468,ffcf,36,fff0
17a,66,4e,466,ffd1,32,fff4
138,50,4e,45c,ffce,37,fff5
73,58,4c,460,ffcf,37,fff1
102,60,4c,466,ffbe,32,fff6
5d,5c,3e,472,ffc2,39,fff0
118,5e,50,460,ffc6,33,fff3
b9,3e,4e,470,ffc7,2e,fff0
c6,4e,50,458,ffc5,30,fff2
19e,60,4e,462,ffc6,34,fff5
8f,58,4c,45e,ffc6,35,fff7
ec,58,46,452,ffc0,33,fff9
ce,52,46,466,ffc9,33,fff6
1a0,4e,50,46c,ffc9,3f,fff3
ff8c,58,4e,466,ffcb,37,fff4
121,62,4e,46c,ffc8,30,fff6
134,60,4c,460,ffc2,34,fff6
35,60,50,460,ffc5,35,fff5
16f,5c,50,460,ffc9,35,fff7
59,58,50,460,ffcd,33,fff6
12d,66,46,466,ffc9,30,fff3
102,52,4e,460,ffc6,2e,fff6
11a,60,4e,460,ffc2,31,fff1
98,52,4c,460,ffc6,2f,fff3
8a,66,4c,466,ffc7,2d,fff2
de,60,50,460,ffc5,2a,fffa
1dc,60,4e,46c,ffc4,2e,fffd
129,5e,50,460,ffc0,33,fff5
17d,52,48,452,ffc6,33,fff5
183,60,48,460,ffc7,35,fff5
12d,50,4c,452,ffc3,36,fff8
1a5,4e,4e,45c,ffc4,32,fff7
1cb,50,4c,458,ffc6,35,fff1
9d,5e,50,460,ffca,33,fff5
83,42,4e,466,ffc7,35,fff6
221,62,4e,460,ffc1,32,fff4
29b,62,4e,46c,ffcb,33,fff5
113,66,4e,466,ffce,32,fff7
5b,66,4e,466,ffce,2c,fff2
cb,66,4c,466,ffcc,2e,fff7
ffb9,68,3e,460,ffcd,35,fff5
a1,52,46,460,ffc9,33,fff4
221,58,52,460,ffc8,32,fff4
c9,52,42,46c,ffcc,36,fff2
5a,5e,4e,45e,ffc9,36,ffee
ff44,66,4e,46c,ffc8,3b,fff4
ce,66,46,460,ffc4,35,fff0
1f7,56,46,460,ffc9,2c,fff0
ee,4e,4c,466,ffcb,30,fff8
dd,46,4e,46c,ffcd,30,fff9
ffe5,4c,4e,466,ffc8,2f,fff3
73,50,4c,458,ffc9,2f,ffec
ffff,60,4c,460,ffd1,2c,fff3
126,60,4e,468,ffc9,22,fff2
12f,58,4e,460,ffc7,2b,fff5
4e,4e,4e,466,ffc0,31,fff3
108,66,4c,466,ffc8,31,fff4
9b,46,50,466,ffcd,30,fff6
1d7,4c,4e,468,ffce,30,fff8
1f0,66,4e,466,ffd2,33,fff5
1e1,5c,50,462,ffc2,35,fff4
33,52,4c,460,ffc6,3f,fff1
93,52,40,46c,ffc7,36,fff6
2b,56,4e,458,ffc7,30,fffa
f9,60,4e,462,ffc3,31,fff7
ea,60,50,45c,ffc4,31,fff7
91,50,4c,458,ffc9,33,fff6
1de,62,46,460,ffc3,30,fff6
5b,4e,46,45c,ffc7,38,fff4
9c,32,42,478,ffc4,43,fff6
8c,46,50,46c,ffc4,3b,fff1
e9,4e,46,466,ffc7,35,fff2
fff8,5c,52,45e,ffcd,32,fff2
c6,58,46,458,ffcb,36,fff0
dc,58,4e,462,ffc8,3b,fff1
a5,66,3e,460,ffc8,35,fff5
c7,5e,58,462,ffc3,33,fff7
4c,66,4e,46c,ffc5,28,fff7
27,60,56,462,ffc8,2e,fff2
20d,50,4c,45e,ffca,37,ffef
fd,3e,4e,466,ffc6,33,fff3
1b9,50,4c,458,ffc9,31,fff8
1d8,50,42,468,ffc9,32,fff4
c3,50,4e,458,ffc6,34,fff4
d9,50,46,466,ffc8,35,fff2
180,58,4c,45c,ffcc,37,fff5
107,60,4c,466,ffcb,33,fff4
10a,5e,4e,45c,ffc9,2e,fff8
10d,66,4e,460,ffc8,32,fff7
12a,50,46,466,ffcc,35,fff3
5f,4c,4e,466,ffca,35,fff3
fd,66,4e,466,ffcb,37,fff4
ec,5c,4e,462,ffcb,2d,fff4
186,62,46,460,ffd3,25,fff5
13f,62,4e,46e,ffcc,2a,fff6
e8,62,48,460,ffc8,30,fff8
f1,58,4e,460,ffcb,33,fff9
15,60,4e,470,ffcb,33,fff9
95,52,4e,45e,ffcb,35,fff4
69,60,50,466,ffca,36,fff6
23,5c,4e,460,ffc5,30,fff0
3f,50,46,466,ffc5,36,fff2
35,60,4c,45e,ffc2,31,fff5
ffed,66,4e,468,ffc6,31,fff6
90,66,3e,458,ffc8,32,fff2
c6,60,4e,462,ffc7,2e,fff0
bd,66,3e,460,ffc4,2e,fff3
ae,4e,4e,460,ffbc,31,fff3
24,56,4e,460,ffcc,33,fff5
1ac,62,4e,466,ffcc,26,fff1
28a,60,4c,460,ffcb,2c,ffee
1c2,66,48,460,ffc9,34,fff3
e3,62,4e,466,ffc4,37,fff3
e3,5c,4e,460,ffc0,33,fff0
86,66,46,466,ffcf,2e,fff6
a5,46,4e,466,ffd2,2c,fff6
b7,4e,4c,468,ffca,36,fff2
149,60,4e,46c,ffc6,43,fff2
108,5e,4e,460,ffc6,3b,fff2
106,66,4e,462,ffca,32,ffee
1c0,5e,4e,460,ffc9,30,ffec
150,66,50,462,ffc7,2f,fff1
fff6,5e,4e,462,ffc8,31,fff3
b2,4e,4a,452,ffc6,33,fff4
dc,62,46,460,ffc9,39,fff6
141,4e,4e,466,ffc9,39,fff7
8b,4e,42,468,ffc8,36,fff6
169,5e,4e,460,ffc4,34,fff6
72,66,3e,460,ffc8,34,fff5
d8,66,4c,460,ffcd,33,fff5
8a,5c,4e,460,ffc5,33,fff5
e4,5c,4e,462,ffc6,30,fff8
ffc3,52,4c,460,ffc4,35,fffc
174,46,38,466,ffc3,31,fff7
16f,5e,52,460,ffc5,2e,fff6
11b,62,4e,462,ffc7,2c,fffc
9a,66,46,460,ffca,2b,fff9
65,58,4e,460,ffca,2d,fff5
45,66,48,468,ffcd,31,fff4
86,50,4e,45e,ffcd,2e,fffa
142,66,4e,466,ffc9,2e,ffec
159,56,48,452,ffc4,35,fff0
ffd6,4e,50,46c,ffc8,31,fff1
114,58,4e,460,ffc9,2f,fff0
126,5c,4c,460,ffcb,2e,fff4
fd,52,4e,45e,ffca,30,fff6
ce,60,4e,466,ffc4,33,fff5
69,66,4e,466,ffc2,37,fff3
103,60,4e,462,ffcc,2e,fff4
ffe9,66,4e,466,ffd1,23,fff6
88,46,4e,466,ffcd,27,fff6
13f,60,52,460,ffc8,2e,fff6
ca,4e,46,458,ffc8,2e,fff8
213,5c,4e,460,ffc7,2c,fff7
1ef,66,50,460,ffc3,2f,fff5
10d,60,52,460,ffc3,31,fff4
69,66,46,45c,ffc7,30,fff3
10,62,3e,460,ffc9,38,fff4
130,4e,4e,45e,ffca,37,fff5
2d,60,48,462,ffca,31,fff3
104,60,50,460,ffcb,33,fff4
14e,60,4e,460,ffcd,32,fffa
e0,52,46,46c,ffd1,30,fff8
25,50,52,462,ffca,35,fff3
b9,4e,4e,46c,ffca,2d,fff4
35d,5e,48,462,ffc8,23,fff3
7f,56,52,462,ffca,2c,fff4
5d,60,4c,462,ffcb,32,fff6
e8,5e,58,45e,ffc7,30,fff3
22,62,3c,460,ffc6,31,fff3
103,5e,50,460,ffc9,35,fff6
ce,3e,4c,46e,ffcd,36,fff4
ffe1,5e,4e,460,ffc3,2f,fff7
cd,60,4e,468,ffc0,28,fff7
1e6,60,4e,462,ffc4,30,fff6
201,56,4e,458,ffc4,36,fff7
2,60,3e,460,ffc7,31,fff3
2c,5c,4e,45e,ffc9,31,fff7
11,3e,4e,46c,ffca,2e,fff6
10f,58,4e,45c,ffc8,32,fff2
9b,52,4c,458,ffcd,34,fff4
8e,66,4e,462,ffca,35,fff6
ca,52,4c,458,ffca,35,fff3
12f,66,46,460,ffc6,32,fff2
11d,60,38,460,ffc5,2e,fff6
106,52,4e,45e,ffc3,30,fff5
222,66,50,470,ffca,31,fff3
14f,50,46,466,ffd1,35,fff7
1fd,4c,52,46c,ffc6,38,fff7
ffcd,5e,52,466,ffc9,38,fff3
bb,50,4e,45c,ffc7,34,fffb
15f,62,40,460,ffc8,33,fff7
58,46,50,466,ffca,33,fff5
1b5,4e,50,46c,ffcc,34,fff2
f1,62,4e,466,ffc6,32,fff6
121,58,4e,460,ffc4,30,fff9
14,52,4e,460,ffcb,2f,fffa
82,42,3e,466,ffc9,37,fff3
9e,50,52,460,ffc6,32,ffee
178,40,52,46c,ffc4,30,fff2
118,66,4e,462,ffc6,2c,ffef
25a,50,46,466,ffc7,31,fff1
17d,50,4e,462,ffc9,35,fffb
1e2,58,50,462,ffca,32,fffc
99,5c,4c,462,ffcf,30,fff2
10,58,48,45c,ffc8,26,fff6
180,58,46,452,ffc6,2b,fff1
ff86,52,4e,45c,ffcf,31,fff6
d7,50,4e,452,ffcb,32,fff6
1e1,50,4c,458,ffc5,30,fffa
20d,62,3e,45e,ffc2,34,ffff
e7,60,52,460,ffc8,35,fff5
15f,60,50,45e,ffc7,37,fff5
173,66,46,45e,ffc1,3a,fff1
fffc,66,50,466,ffc3,32,fff6
d2,50,4e,45e,ffca,36,fff3
101,62,50,460,ffca,31,fff9
1b7,60,4c,45e,ffcb,31,fff6
157,58,4c,460,ffc7,30,fff4
1cd,58,4e,460,ffc9,30,fff6
1d9,4e,50,462,ffc8,34,fff2
b6,3e,4e,46e,ffca,2b,fff0
ffd4,5e,50,460,ffcb,2f,ffee
126,40,4e,46c,ffc9,30,fff2
1e4,4e,4e,46e,ffc5,34,fff4
15d,50,46,45c,ffc6,2d,fff5
19e,5c,4e,462,ffcc,31,fff3
131,52,4c,458,ffcd,2f,fff4
a7,5e,4e,460,ffc3,35,fff2
4b,66,4e,460,ffc9,29,fff5
118,4e,4e,45e,ffc9,2f,fff4
125,66,52,466,ffc8,32,fff0
143,4e,4e,45e,ffca,32,ffef
ce,4e,4e,45c,ffcb,33,fff3
106,58,4c,460,ffc9,2f,fff9
13c,50,4e,45e,ffc8,31,fff4
2f,60,4e,466,ffcf,34,fffb
163,4e,50,466,ffc9,34,fffa
19d,46,4e,468,ffc6,2f,fff5
a5,4e,50,466,ffcc,2f,fff5
63,46,4e,470,ffce,30,fff6
157,4e,4e,468,ffcd,32,fff2
